Date,Medicine,Sales,Drugstores
1/2/2014 11:00,M01AB,0.0,Drugstore B
1/2/2014 12:00,M01AB,0.0,Drugstore B
1/2/2014 13:00,M01AB,0.0,Drugstore B
1/2/2014 18:00,M01AB,0.0,Drugstore B
1/3/2014 7:00,M01AB,0.0,Drugstore B
1/3/2014 20:00,M01AB,0.0,Drugstore B
1/4/2014 1:00,M01AB,0.0,Drugstore B
1/4/2014 15:00,M01AB,0.0,Drugstore B
1/4/2014 20:00,M01AB,0.0,Drugstore B
1/5/2014 1:00,M01AB,0.0,Drugstore B
1/5/2014 19:00,M01AB,0.0,Drugstore B
1/6/2014 11:00,M01AB,0.0,Drugstore B
1/6/2014 14:00,M01AB,2.0,Drugstore B
1/6/2014 15:00,M01AB,1.0,Drugstore B
1/6/2014 17:00,M01AB,0.0,Drugstore B
1/6/2014 18:00,M01AB,0.0,Drugstore B
1/6/2014 22:00,M01AB,0.0,Drugstore B
1/7/2014 9:00,M01AB,0.0,Drugstore B
1/7/2014 13:00,M01AB,0.0,Drugstore B
1/7/2014 14:00,M01AB,0.0,Drugstore B
1/7/2014 15:00,M01AB,0.0,Drugstore B
1/8/2014 1:00,M01AB,0.0,Drugstore B
1/8/2014 23:00,M01AB,0.0,Drugstore B
1/9/2014 10:00,M01AB,0.0,Drugstore B
1/9/2014 21:00,M01AB,0.0,Drugstore B
1/10/2014 0:00,M01AB,0.0,Drugstore B
1/10/2014 4:00,M01AB,0.0,Drugstore B
1/10/2014 7:00,M01AB,0.0,Drugstore B
1/11/2014 5:00,M01AB,0.0,Drugstore B
1/11/2014 11:00,M01AB,0.0,Drugstore B
1/11/2014 12:00,M01AB,1.0,Drugstore B
1/11/2014 17:00,M01AB,0.0,Drugstore B
1/11/2014 18:00,M01AB,0.0,Drugstore B
1/12/2014 6:00,M01AB,0.0,Drugstore B
1/12/2014 13:00,M01AB,0.0,Drugstore B
1/12/2014 17:00,M01AB,0.0,Drugstore B
1/13/2014 1:00,M01AB,0.0,Drugstore B
1/13/2014 10:00,M01AB,0.0,Drugstore B
1/13/2014 14:00,M01AB,0.0,Drugstore B
1/14/2014 3:00,M01AB,0.0,Drugstore B
1/14/2014 5:00,M01AB,0.0,Drugstore B
1/14/2014 7:00,M01AB,0.0,Drugstore B
1/14/2014 8:00,M01AB,0.0,Drugstore B
1/14/2014 11:00,M01AB,1.0,Drugstore B
